student_id,month,subject,lectures_conducted,lectures_attended,absences,attendance_percentage,prev_sem_attendance,trend,risk_label
STU0130,6,SUB3,21,16,5,79.53,96.0,stable,SAFE
STU0131,1,SUB5,18,11,7,65.22,87.6,declining,WARNING
STU0131,2,SUB2,20,12,8,64.69,87.6,declining,HIGH_RISK
STU0131,3,SUB1,24,14,10,61.42,87.6,declining,HIGH_RISK
STU0131,4,SUB2,19,11,8,59.32,87.6,declining,HIGH_RISK
STU0131,5,SUB2,22,12,10,57.05,87.6,declining,HIGH_RISK
STU0131,6,SUB1,21,12,9,60.7,87.6,declining,HIGH_RISK
STU0132,1,SUB2,20,15,5,75.88,78.2,improving,SAFE
STU0132,2,SUB1,23,17,6,77.81,78.2,improving,SAFE
STU0132,3,SUB3,19,15,4,80.0,78.2,improving,SAFE
STU0132,4,SUB3,18,13,5,77.65,78.2,improving,SAFE
STU0132,5,SUB4,21,17,4,81.81,78.2,improving,SAFE
STU0132,6,SUB1,19,16,3,86.47,78.2,improving,SAFE
STU0133,1,SUB5,20,13,7,66.63,79.6,stable,WARNING
STU0133,2,SUB5,24,16,8,67.28,79.6,stable,WARNING
STU0133,3,SUB5,20,13,7,67.14,79.6,stable,WARNING
STU0133,4,SUB1,20,13,7,65.01,79.6,stable,WARNING
STU0133,5,SUB1,20,13,7,65.48,79.6,stable,WARNING
STU0133,6,SUB4,24,16,8,67.54,79.6,stable,WARNING
STU0134,1,SUB2,23,18,5,80.59,55.3,declining,SAFE
STU0134,2,SUB5,23,18,5,80.02,55.3,declining,SAFE
STU0134,3,SUB5,20,15,5,76.49,55.3,declining,SAFE
STU0134,4,SUB4,22,16,6,75.48,55.3,declining,SAFE
STU0134,5,SUB5,24,18,6,76.34,55.3,declining,SAFE
STU0134,6,SUB2,24,18,6,76.91,55.3,declining,SAFE
STU0135,1,SUB4,24,16,8,68.17,91.5,improving,WARNING
STU0135,2,SUB4,23,16,7,69.7,91.5,improving,WARNING
STU0135,3,SUB3,21,14,7,70.01,91.5,improving,WARNING
STU0135,4,SUB3,19,13,6,70.08,91.5,improving,WARNING
STU0135,5,SUB3,20,15,5,75.48,91.5,improving,SAFE
STU0135,6,SUB3,23,17,6,77.92,91.5,improving,SAFE
STU0136,1,SUB4,23,21,2,93.28,77.8,stable,SAFE
STU0136,2,SUB2,24,22,2,95.7,77.8,stable,SAFE
STU0136,3,SUB4,23,22,1,96.91,77.8,stable,SAFE
STU0136,4,SUB1,18,17,1,95.46,77.8,stable,SAFE
STU0136,5,SUB2,21,19,2,94.53,77.8,stable,SAFE
STU0136,6,SUB3,22,20,2,94.6,77.8,stable,SAFE
STU0137,1,SUB3,22,16,6,72.76,73.7,stable,WARNING
STU0137,2,SUB3,21,14,7,68.89,73.7,stable,WARNING
STU0137,3,SUB1,19,13,6,68.62,73.7,stable,WARNING
STU0137,4,SUB1,20,14,6,71.11,73.7,stable,WARNING
STU0137,5,SUB2,24,17,7,71.24,73.7,stable,WARNING
STU0137,6,SUB4,23,15,8,67.93,73.7,stable,WARNING
STU0138,1,SUB1,20,19,1,97.14,63.8,stable,SAFE
STU0138,2,SUB2,20,19,1,98.99,63.8,stable,SAFE
STU0138,3,SUB1,20,19,1,96.16,63.8,stable,SAFE
STU0138,4,SUB3,19,18,1,98.24,63.8,stable,SAFE
STU0138,5,SUB5,18,16,2,94.27,63.8,stable,SAFE
STU0138,6,SUB4,19,18,1,95.75,63.8,stable,SAFE
STU0139,1,SUB3,21,16,5,80.89,55.1,improving,SAFE
STU0139,2,SUB3,18,14,4,81.24,55.1,improving,SAFE
STU0139,3,SUB1,21,17,4,85.42,55.1,improving,SAFE
STU0139,4,SUB4,21,18,3,86.62,55.1,improving,SAFE
STU0139,5,SUB1,23,19,4,82.74,55.1,improving,SAFE
STU0139,6,SUB5,24,20,4,84.05,55.1,improving,SAFE
STU0140,1,SUB4,24,23,1,98.42,97.5,improving,SAFE
STU0140,2,SUB5,24,24,0,100.0,97.5,improving,SAFE
STU0140,3,SUB4,22,22,0,100.0,97.5,improving,SAFE
STU0140,4,SUB3,21,21,0,100.0,97.5,improving,SAFE
STU0140,5,SUB3,21,21,0,100.0,97.5,improving,SAFE
STU0140,6,SUB5,18,18,0,100.0,97.5,improving,SAFE
STU0141,1,SUB3,19,18,1,96.56,98.0,improving,SAFE
STU0141,2,SUB2,19,18,1,98.73,98.0,improving,SAFE
STU0141,3,SUB2,18,17,1,98.03,98.0,improving,SAFE
STU0141,4,SUB5,21,20,1,97.76,98.0,improving,SAFE
STU0141,5,SUB2,18,18,0,100.0,98.0,improving,SAFE
STU0141,6,SUB4,20,20,0,100.0,98.0,improving,SAFE
STU0142,1,SUB5,23,22,1,96.41,53.6,improving,SAFE
STU0142,2,SUB4,19,18,1,97.71,53.6,improving,SAFE
STU0142,3,SUB2,19,18,1,96.74,53.6,improving,SAFE
STU0142,4,SUB2,24,24,0,100.0,53.6,improving,SAFE
STU0142,5,SUB3,19,18,1,97.76,53.6,improving,SAFE
STU0142,6,SUB5,24,24,0,100.0,53.6,improving,SAFE
STU0143,1,SUB4,23,13,10,58.81,96.1,declining,HIGH_RISK
STU0143,2,SUB5,22,12,10,56.52,96.1,declining,HIGH_RISK
STU0143,3,SUB5,18,10,8,56.63,96.1,declining,HIGH_RISK
STU0143,4,SUB3,21,12,9,58.11,96.1,declining,HIGH_RISK
STU0143,5,SUB1,18,9,9,53.32,96.1,declining,HIGH_RISK
STU0143,6,SUB5,23,12,11,55.29,96.1,declining,HIGH_RISK
STU0144,1,SUB5,20,19,1,99.49,79.4,improving,SAFE
STU0144,2,SUB2,24,23,1,99.1,79.4,improving,SAFE
STU0144,3,SUB4,23,23,0,100.0,79.4,improving,SAFE
STU0144,4,SUB5,19,19,0,100.0,79.4,improving,SAFE
STU0144,5,SUB4,24,24,0,100.0,79.4,improving,SAFE
STU0144,6,SUB3,21,21,0,100.0,79.4,improving,SAFE
STU0145,1,SUB4,20,16,4,82.03,70.4,declining,SAFE
STU0145,2,SUB4,20,16,4,80.73,70.4,declining,SAFE
STU0145,3,SUB1,22,17,5,78.65,70.4,declining,SAFE
STU0145,4,SUB3,20,15,5,79.09,70.4,declining,SAFE
STU0145,5,SUB4,24,18,6,78.89,70.4,declining,SAFE
STU0145,6,SUB1,24,17,7,73.03,70.4,declining,WARNING
STU0146,1,SUB3,22,15,7,72.19,82.9,stable,WARNING
STU0146,2,SUB4,21,15,6,75.6,82.9,stable,SAFE
STU0146,3,SUB3,19,14,5,76.42,82.9,stable,SAFE
STU0146,4,SUB4,20,15,5,75.16,82.9,stable,SAFE
STU0146,5,SUB1,21,16,5,77.15,82.9,stable,SAFE
STU0146,6,SUB5,23,16,7,72.04,82.9,stable,WARNING
STU0147,1,SUB4,22,13,9,62.12,90.0,stable,HIGH_RISK
STU0147,2,SUB1,24,14,10,59.37,90.0,stable,HIGH_RISK
STU0147,3,SUB2,18,11,7,61.58,90.0,stable,HIGH_RISK
STU0147,4,SUB3,23,14,9,61.8,90.0,stable,HIGH_RISK
STU0147,5,SUB4,20,12,8,61.86,90.0,stable,HIGH_RISK
STU0147,6,SUB2,21,13,8,63.82,90.0,stable,HIGH_RISK
STU0148,1,SUB2,22,16,6,73.38,72.8,improving,WARNING
STU0148,2,SUB4,20,15,5,75.09,72.8,improving,SAFE
STU0148,3,SUB5,24,17,7,74.52,72.8,improving,WARNING
STU0148,4,SUB3,18,13,5,75.1,72.8,improving,SAFE
STU0148,5,SUB5,24,19,5,79.44,72.8,improving,SAFE
STU0148,6,SUB4,23,18,5,79.71,72.8,improving,SAFE
STU0149,1,SUB5,22,16,6,77.14,93.3,declining,SAFE
STU0149,2,SUB2,20,15,5,76.03,93.3,declining,SAFE
STU0149,3,SUB5,19,13,6,72.25,93.3,declining,WARNING
STU0149,4,SUB4,24,17,7,73.86,93.3,declining,WARNING
STU0149,5,SUB4,23,17,6,75.33,93.3,declining,SAFE
STU0149,6,SUB4,24,16,8,68.81,93.3,declining,WARNING
STU0150,1,SUB4,19,17,2,89.99,69.3,stable,SAFE
STU0150,2,SUB5,19,17,2,91.86,69.3,stable,SAFE
STU0150,3,SUB1,20,18,2,91.87,69.3,stable,SAFE
STU0150,4,SUB1,21,19,2,91.32,69.3,stable,SAFE
STU0150,5,SUB1,21,18,3,89.23,69.3,stable,SAFE
STU0150,6,SUB2,21,18,3,90.41,69.3,stable,SAFE
STU0151,1,SUB1,23,15,8,68.02,53.7,declining,WARNING
STU0151,2,SUB5,24,15,9,66.0,53.7,declining,WARNING
STU0151,3,SUB4,20,13,7,66.35,53.7,declining,WARNING
STU0151,4,SUB5,18,11,7,62.32,53.7,declining,HIGH_RISK
STU0151,5,SUB3,23,15,8,66.54,53.7,declining,WARNING
STU0151,6,SUB1,23,13,10,57.58,53.7,declining,HIGH_RISK
STU0152,1,SUB4,18,16,2,89.25,71.7,improving,SAFE
STU0152,2,SUB1,20,17,3,89.19,71.7,improving,SAFE
STU0152,3,SUB1,24,21,3,89.4,71.7,improving,SAFE
STU0152,4,SUB4,20,18,2,91.46,71.7,improving,SAFE
STU0152,5,SUB4,22,20,2,91.29,71.7,improving,SAFE
STU0152,6,SUB2,24,22,2,95.79,71.7,improving,SAFE
STU0153,1,SUB2,23,18,5,82.28,58.5,improving,SAFE
STU0153,2,SUB2,22,18,4,83.7,58.5,improving,SAFE
STU0153,3,SUB3,23,19,4,83.75,58.5,improving,SAFE
STU0153,4,SUB1,23,19,4,85.97,58.5,improving,SAFE
STU0153,5,SUB3,21,18,3,90.45,58.5,improving,SAFE
STU0153,6,SUB1,19,17,2,90.31,58.5,improving,SAFE
STU0154,1,SUB3,21,20,1,96.52,72.1,declining,SAFE
STU0154,2,SUB2,20,19,1,95.1,72.1,declining,SAFE
STU0154,3,SUB4,24,21,3,91.47,72.1,declining,SAFE
STU0154,4,SUB5,21,19,2,94.83,72.1,declining,SAFE
STU0154,5,SUB3,20,18,2,92.28,72.1,declining,SAFE
STU0154,6,SUB4,24,22,2,94.27,72.1,declining,SAFE
STU0155,1,SUB5,18,16,2,93.87,63.7,stable,SAFE
STU0155,2,SUB3,24,22,2,93.67,63.7,stable,SAFE
STU0155,3,SUB5,19,17,2,93.85,63.7,stable,SAFE
STU0155,4,SUB2,19,17,2,94.01,63.7,stable,SAFE
STU0155,5,SUB2,23,21,2,92.92,63.7,stable,SAFE
STU0155,6,SUB1,23,21,2,92.97,63.7,stable,SAFE
STU0156,1,SUB1,19,10,9,55.39,65.4,declining,HIGH_RISK
STU0156,2,SUB4,20,10,10,52.71,65.4,declining,HIGH_RISK
STU0156,3,SUB5,19,10,9,54.14,65.4,declining,HIGH_RISK
STU0156,4,SUB5,20,9,11,49.18,65.4,declining,HIGH_RISK
STU0156,5,SUB2,20,10,10,50.17,65.4,declining,HIGH_RISK
STU0156,6,SUB4,24,12,12,51.12,65.4,declining,HIGH_RISK
STU0157,1,SUB4,18,15,3,86.09,98.4,declining,SAFE
STU0157,2,SUB2,19,15,4,83.21,98.4,declining,SAFE
STU0157,3,SUB4,23,18,5,81.73,98.4,declining,SAFE
STU0157,4,SUB5,24,19,5,79.3,98.4,declining,SAFE
STU0157,5,SUB4,24,19,5,81.86,98.4,declining,SAFE
STU0157,6,SUB1,22,18,4,83.98,98.4,declining,SAFE
STU0158,1,SUB3,21,18,3,85.78,72.7,stable,SAFE
STU0158,2,SUB4,19,16,3,84.86,72.7,stable,SAFE
STU0158,3,SUB3,22,18,4,84.36,72.7,stable,SAFE
STU0158,4,SUB1,19,17,2,89.7,72.7,stable,SAFE
STU0158,5,SUB3,21,18,3,88.02,72.7,stable,SAFE
STU0158,6,SUB2,18,15,3,88.1,72.7,stable,SAFE
STU0159,1,SUB2,18,12,6,69.33,52.3,improving,WARNING
STU0159,2,SUB4,19,13,6,71.75,52.3,improving,WARNING
STU0159,3,SUB5,23,16,7,71.63,52.3,improving,WARNING
STU0159,4,SUB2,23,16,7,72.6,52.3,improving,WARNING
STU0159,5,SUB1,23,17,6,77.23,52.3,improving,SAFE
STU0159,6,SUB4,22,17,5,78.59,52.3,improving,SAFE
STU0160,1,SUB4,21,11,10,55.35,97.0,declining,HIGH_RISK
STU0160,2,SUB3,24,12,12,52.56,97.0,declining,HIGH_RISK
STU0160,3,SUB3,23,12,11,54.46,97.0,declining,HIGH_RISK
STU0160,4,SUB3,23,11,12,51.14,97.0,declining,HIGH_RISK
STU0160,5,SUB2,20,10,10,53.45,97.0,declining,HIGH_RISK
STU0160,6,SUB4,24,10,14,44.69,97.0,declining,HIGH_RISK
STU0161,1,SUB1,18,15,3,83.99,54.6,improving,SAFE
STU0161,2,SUB2,19,16,3,85.95,54.6,improving,SAFE
STU0161,3,SUB1,19,16,3,87.63,54.6,improving,SAFE
STU0161,4,SUB2,22,19,3,89.57,54.6,improving,SAFE
STU0161,5,SUB2,24,21,3,89.49,54.6,improving,SAFE
STU0161,6,SUB5,19,16,3,88.55,54.6,improving,SAFE
STU0162,1,SUB2,24,23,1,98.77,50.1,improving,SAFE
STU0162,2,SUB1,24,23,1,98.79,50.1,improving,SAFE
STU0162,3,SUB2,20,19,1,99.56,50.1,improving,SAFE
STU0162,4,SUB2,18,18,0,100.0,50.1,improving,SAFE
STU0162,5,SUB4,19,19,0,100.0,50.1,improving,SAFE
STU0162,6,SUB1,23,23,0,100.0,50.1,improving,SAFE
STU0163,1,SUB2,22,16,6,76.41,73.8,declining,SAFE
STU0163,2,SUB5,18,13,5,73.23,73.8,declining,WARNING
STU0163,3,SUB1,23,17,6,74.21,73.8,declining,WARNING
STU0163,4,SUB4,21,15,6,74.7,73.8,declining,WARNING
STU0163,5,SUB4,18,12,6,71.37,73.8,declining,WARNING
STU0163,6,SUB1,21,14,7,67.66,73.8,declining,WARNING
STU0164,1,SUB5,20,16,4,80.56,95.0,declining,SAFE
STU0164,2,SUB3,22,17,5,78.26,95.0,declining,SAFE
STU0164,3,SUB5,22,17,5,77.94,95.0,declining,SAFE
STU0164,4,SUB5,22,17,5,77.39,95.0,declining,SAFE
STU0164,5,SUB1,24,18,6,75.43,95.0,declining,SAFE
STU0164,6,SUB5,23,16,7,70.48,95.0,declining,WARNING
STU0165,1,SUB3,21,15,6,75.33,86.0,improving,SAFE
STU0165,2,SUB4,21,16,5,76.98,86.0,improving,SAFE
STU0165,3,SUB4,20,15,5,78.28,86.0,improving,SAFE
STU0165,4,SUB3,20,15,5,77.37,86.0,improving,SAFE
STU0165,5,SUB4,23,19,4,83.14,86.0,improving,SAFE
STU0165,6,SUB1,24,18,6,77.1,86.0,improving,SAFE
STU0166,1,SUB5,19,16,3,88.08,54.7,improving,SAFE
STU0166,2,SUB5,22,19,3,88.2,54.7,improving,SAFE
STU0166,3,SUB4,18,16,2,90.0,54.7,improving,SAFE
STU0166,4,SUB4,23,20,3,91.14,54.7,improving,SAFE
STU0166,5,SUB1,23,22,1,96.03,54.7,improving,SAFE
STU0166,6,SUB3,22,21,1,98.73,54.7,improving,SAFE
